"","sg_uf","YEAR","pop_100k","log.gdp.pc","fhs","fhs_sc","gdp_sc","cases","cure","sinan_death","abandon","dr_txf","other","sim_death","mort_treat","aban_treat","pct_idc","ndx_obs","ndx_adj10","ndx_adj50","ndx_adj90","k10","k50","k90"
"1","11",2009,15.03928,2.57380697096429,0.617050816262481,-0.850868092777121,-0.820887618993319,600,418,24,67,1,90,30,0.0669407163338559,0.101078657353256,0.092145678,6965.748848,7422.620488,7806.659936,8273.955233,0.841888632,0.892282859,0.93844874
"2","11",2010,15.60501,2.72920135546909,0.669015912197429,-0.669192244315518,-0.510735554027149,490,363,27,43,3,54,40,0.0690321087295311,0.101021434883961,0.112387543,6965.748848,7422.620488,7806.659936,8273.955233,0.841888632,0.892282859,0.93844874
"3","11",2011,15.76455,2.86172050175516,0.718066801779943,-0.497704790624387,-0.246240237808629,596,414,27,59,1,95,43,0.0709445401778383,0.100911453271015,0.097804391,6965.748848,7422.620488,7806.659936,8273.955233,0.841888632,0.892282859,0.93844874
"4","11",2012,15.90011,2.94120677261173,0.729554701193891,-0.457541795915723,-0.0875933785853101,596,421,14,75,1,85,49,0.0718029608225796,0.101077362571644,0.084319916,6965.748848,7422.620488,7806.659936,8273.955233,0.841888632,0.892282859,0.93844874
"5","11",2013,17.28214,2.89080756572493,0.689729396938111,-0.596775560632866,-0.188185289537645,605,415,27,74,2,87,53,0.0706984774668872,0.101393621732525,0.075466667,6965.748848,7422.620488,7806.659936,8273.955233,0.841888632,0.892282859,0.93844874
"6","11",2014,17.48531,2.9684953381409,0.814397914592306,-0.160920332930999,-0.0331280581311095,602,414,25,97,3,63,45,0.0735228399559329,0.100091793069419,0.075506205,6965.748848,7422.620488,7806.659936,8273.955233,0.841888632,0.892282859,0.93844874
"7","11",2015,17.68204,3.02908159281379,0.86415368362474,0.0130314589822273,0.0877962085677568,563,405,20,75,4,59,44,0.0749352938557864,0.0996920114997575,0.064041268,6965.748848,7422.620488,7806.659936,8273.955233,0.841888632,0.892282859,0.93844874
"8","11",2016,17.87279,3.09460222145299,0.859406953251283,-0.00356364687682495,0.218569005378196,644,483,22,102,4,33,51,0.0754200265895681,0.100009371666098,0.067114094,6965.748848,7422.620488,7806.659936,8273.955233,0.841888632,0.892282859,0.93844874
"9","11",2017,18.05788,3.18191319866388,0.855028386499412,-0.0188716111051172,0.392833216806865,650,451,17,84,4,94,46,0.0761061023747047,0.100408625665741,0.060591313,6965.748848,7422.620488,7806.659936,8273.955233,0.841888632,0.892282859,0.93844874
"10","11",2018,17.57589,3.24080608759534,0.878476139757361,0.0631043843397647,0.510377690322583,584,198,15,43,4,324,37,0.0770599217772922,0.100338796617125,0.073606859,6965.748848,7422.620488,7806.659936,8273.955233,0.841888632,0.892282859,0.93844874
"11","12",2009,6.91132,2.37196077994651,0.7986896859066,-0.215838075753549,-1.22375296801622,334,301,8,15,4,6,19,0.0683304265961028,0.0979723101467261,0.112724758,2993.77736,3186.41341,3395.044687,3642.206163,0.821968122,0.88180794,0.939544552
"12","12",2010,7.32793,2.43223768855112,0.75328230482551,-0.37458741193592,-1.10344612595706,326,276,18,24,4,4,18,0.0680585068952974,0.0987788614715608,0.140910602,2993.77736,3186.41341,3395.044687,3642.206163,0.821968122,0.88180794,0.939544552
"13","12",2011,7.46386,2.48410256464837,0.744922868328184,-0.403812946710527,-0.999928881932839,375,335,14,13,7,6,23,0.0683330100353495,0.0990864488503946,0.097244219,2993.77736,3186.41341,3395.044687,3642.206163,0.821968122,0.88180794,0.939544552
"14","12",2012,7.58786,2.59231883338992,0.890896774584666,0.106528327470883,-0.783939743586011,381,349,14,9,4,5,13,0.071691588081538,0.0976607448482585,0.108108108,2993.77736,3186.41341,3395.044687,3642.206163,0.821968122,0.88180794,0.939544552
"15","12",2013,7.76463,2.69308370549637,0.896372396366601,0.125671720072973,-0.582822867583961,373,340,17,5,8,3,36,0.0726323576403814,0.0979793960693463,0.082579867,2993.77736,3186.41341,3395.044687,3642.206163,0.821968122,0.88180794,0.939544552
"16","12",2014,7.90101,2.83521993347173,0.972027626847707,0.390170956356865,-0.299132792466076,426,387,18,13,4,4,29,0.0752004516664958,0.0975752260176455,0.05840046,2993.77736,3186.41341,3395.044687,3642.206163,0.821968122,0.88180794,0.939544552
"17","12",2015,8.03513,2.8305069945606,0.995627948769964,0.472680349095413,-0.308539359762612,327,287,24,10,4,2,24,0.0755879460874293,0.0972616312202884,0.073642309,2993.77736,3186.41341,3395.044687,3642.206163,0.821968122,0.88180794,0.939544552
"18","12",2016,8.16687,2.82384665208658,1.01385230816702,0.536394769256868,-0.321832755005176,415,373,15,16,3,8,29,0.0758618875262654,0.0970085552227796,0.075205953,2993.77736,3186.41341,3395.044687,3642.206163,0.821968122,0.88180794,0.939544552
"19","12",2017,8.29619,2.84502250023717,1.04626340524988,0.649707627746938,-0.279567823410359,465,436,11,9,5,4,17,0.076643593749908,0.0966855124976733,0.047494781,2993.77736,3186.41341,3395.044687,3642.206163,0.821968122,0.88180794,0.939544552
"20","12",2018,8.69265,2.8699921704356,0.9985447475741,0.482877807370032,-0.22973079230884,451,239,12,3,3,194,37,0.0759876787093504,0.0973762775194097,0.058866634,2993.77736,3186.41341,3395.044687,3642.206163,0.821968122,0.88180794,0.939544552
"21","13",2009,33.93369,2.70133437185065,0.617675236615882,-0.848685048649906,-0.566355340682768,2385,1817,180,254,11,123,206,0.0679558881147309,0.101576550535119,0.16664101,13411.82715,14896.49132,15842.65245,17063.9016,0.785976587,0.8465645,0.90033464
